Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Project Focus Page,79,2559,2319,4011,4757,5811,1197,6030,0.000%,.01144,0.08,0.01
Login Page,79,5728,1700,5786,48174,49051,303,49128,79.747%,.01144,0.13,0.01
List Projects,79,14101,10465,27369,28098,29440,2434,33682,0.000%,.01143,0.60,0.00
Project - Overview,79,23718,19565,43979,46887,50942,2543,53713,0.000%,.01140,1.04,0.00
Project - Report Main Page,79,166896,19240,42687,43524,48341,2903,11398263,1.266%,.00431,0.21,0.00
Project - Report (Draft),78,174103,27244,45618,47764,79019,2619,11392701,1.282%,.00426,1.45,0.00
Project - Report (HTML View),77,21620,16694,41241,43117,49012,2498,62896,0.000%,.01225,0.53,0.01
Project - Report (Draft-One Page),77,9674,8183,13149,15633,32397,2724,50463,0.000%,.01224,4.16,0.01
Project - Report (HTML View-One Page),77,24942,20006,42009,43967,47628,3198,52617,0.000%,.01222,0.53,0.01
Project - Action Tracking,77,21730,17827,41466,43351,45838,2978,48441,0.000%,.01216,0.73,0.01
Project - Activities,77,23329,18061,43046,44832,47336,2546,47420,0.000%,.01211,0.88,0.01
Project - Schedule,77,23028,18800,43344,44427,54381,3113,68405,0.000%,.01206,1.36,0.01
Project - Risk,77,20922,15933,40610,44530,46895,2731,48193,0.000%,.01199,0.83,0.01
Project - Issue,77,22712,16405,41969,45165,47186,2547,48403,0.000%,.01194,0.84,0.01
Project - Budget,77,21785,17934,40012,43934,47299,2592,47949,0.000%,.01186,1.22,0.01
Project - Change Control,77,22218,16681,41639,43853,45988,2406,48126,0.000%,.01180,0.77,0.01
Project - Resourcing,77,21016,16499,38922,42155,53609,2378,58114,0.000%,.01179,0.79,0.01
Project - Deliverable,77,22769,17101,38645,42742,64406,2439,111782,0.000%,.01173,0.65,0.01
Project - Quality Management,77,22690,17425,40711,45126,77175,2956,109477,0.000%,.01168,0.71,0.01
Project - KPIs,77,23472,15621,43262,47724,94859,1944,108021,0.000%,.01167,0.73,0.01
Project - Approvals,77,18389,16517,29130,31429,38363,2328,55527,53.247%,.01161,0.46,0.01
Project - Notifications Log,77,22531,16448,42483,46898,54636,2574,86770,0.000%,.01158,0.61,0.01
Project - Documents,77,22534,15853,42550,45532,64458,2616,74716,0.000%,.01156,0.56,0.01
Project - Settings,77,30779,24413,52610,67607,80370,4302,126141,0.000%,.01154,2.47,0.01
List Portfolio,77,15719,10592,31639,39855,54585,2723,58357,0.000%,.01151,0.50,0.00
Portfolio - Overview,77,19958,10661,42881,51569,60216,2762,92902,0.000%,.01147,0.79,0.00
Portfolio - Pipeline Management,77,20062,12909,40799,53175,90539,2450,98430,0.000%,.01142,0.80,0.00
Portfolio - Pipeline Management (Ausnet),77,22561,17180,41153,51861,92756,2485,96934,85.714%,.01139,0.37,0.00
Portfolio - Dashboard,77,19973,15992,41006,53734,63527,2474,96551,0.000%,.01134,0.64,0.00
Portfolio - Dashboard: Data Source (Accenture),77,22116,16126,38918,59654,84173,2731,84936,80.519%,.01130,0.35,0.01
